x1,x2,label1,label2
Hussein Beat Sanctions With Bribes.,A game to remember.,1,2
Game 5 marathon rated highly with viewers.,Report: EADS Could Link With Thales.,2,3
Hayden walks into strife.,Photo: SGI's Columbia supercomputer.,2,4
Taiwan Rescuers Dig Out 7 Bodies Buried in Landslide.,Seahawks Looking at Acquiring Jerry Rice (AP).,1,2
Hodge called up as Ponting returns home.,Google blows search into another universe.,2,4
Iraq gears up for elections.,VARs: Stone #39;s Exit Won #39;t Slow Novell #39;s Linux Drive.,1,4
"Allawi Meets Militants, Pushes Amnesty.",More buyers choose artificial.,1,3
Kerry to reverse stem cell policy.,UPDATE 3-Clarke cracks debut 151 as India collapse.,1,2
Souness Looks Forward.,FACTBOX-US Fed policymakers #39; recent comments.,2,3
SA 'mercenaries' plead not guilty.,IBM Chips May Someday Heal Themselves.,1,4
Rebel Attacks Hit Baghdad as Rumsfeld Visits Iraq.,A  #39;Plan B #39; for PeopleSoft customers.,1,4
Orioles Target Sexson.,COLUMN: Many Struggle to Comply with Sarbanes Rules.,2,3
"For Dempsey, soccer impasse qualifies as a concern.","\$904,800 in refund checks go undelivered in Southeastern &lt;b&gt;...&lt;/b&gt;.",2,3
"Lewis, Allen super vs. Spurs.",Stocks Open Lower as Wall St. Pulls Back.,2,3
Powell Meets with Middle East Leaders.,"We can win the series, says Ganguly.",1,2
Daly penciled in for Deutsche Bank.,Consumer Prices: Biggest Jump Since May.,2,3
World News: Zimbabwe jails UK  #39;coup plotter #39;.,Will your phone become your credit card?.,1,4
Senna suspension stands.,Peter Griffin: A9.com makes searching personal.,2,4
Nebraska Player Charged With Assault.,"SunTrust Restates Results, Profits Up.",2,3
Let basketball.,Sales boost for House of Fraser.,2,3
Banks seek court ruling over F1.,FCC expected to keep states off VoIP's back.,3,4
Wall Street: Will the rally continue through December?.,"You have mail, always, with a BlackBerry.",3,4
Latham stands by Bali claims candidate.,Intel executive: EM64T has set back Itanium.,1,4
Gaza Clean-Up Operation after Israeli Withdrawal.,Diamondbacks Ink Fassero.,1,2
"As Drama Plays Out, Mixed Feelings for Arafat #39;s Neighbors.",Radcliffe awaits gun for start of Russian roulette.,1,2
Islamic teacher charged with bombings.,Patriots #39; game: New England beats Jets for 21st win in a row.,1,2
Chicago OKs Cubs to Play at Wrigley Field (AP).,Countrywide Results Spark Sector Selloff.,2,3
Feds: Syrian Clampdown on Terror Positive (AP).,Connecticut joins California in Spitzer probe.,1,3
Martin announces major overhaul of key staff in Prime Minister's Office (Canadian Press).,Ontario Securities Commission accuses 4 fund mangers of improper &lt;b&gt;...&lt;/b&gt;.,1,3
Israeli Held Meetings With U.S. Analyst (AP).,NJ residents file lawsuit to block e-voting.,1,4
"Vilsack, Dean Jockey for Top DNC Post (AP).",Sarin Carries Hoyas.,1,2
Brazilian soccer player dies of heat attack during match.,Financier Frankel Gets Nearly 17 Years for Fraud.,2,3
Israel Says It Attacked Islamic Jihad Leader (Reuters).,Delta Air to Issue More Shares.,1,3
ACLU Seeks to Challenge Gay Adoption Ban (AP).,Unilever Cuts Profit Forecasts on Sluggish Sales (Update3).,1,3
Gibbs doubts Skins were tipping plays.,Microsoft spends 1bn to keep out the hackers.,2,4
Insurgents target Green Zone.,In The News: Instant Recall.,1,3
Venezuela vote keeps Chavez as president.,Yahoo! Hires Chief Data Officer.,1,4
Pakistan's Musharraf calls for unity against global terrorism (AFP).,RBI hikes repo rate by 25bps.,1,3
Iraq PM pleads for Europe #39;s help.,SEC may finalize Qwest settlement today.,1,3
New York Yankees Team Report - October 1.,Microsoft: No extra licenses needed for multicore chips.,2,4
